file,dataset,position,perturbation,typo10,rows,unique_mq,dup_questions,annotated_rows,unannotated_rows,kept_unlabeled,blank_model_rows
test_adjusted_position-propcalc_perturbation-random_letter_perturbation-typo10_annotated.csv,gsm8k,propcalc,random,1,852,560,292,266,586,294,0
SVAMP_adjusted_position-calc_perturbation-add101_annotated.csv,svamp,calc,add101,0,1053,1053,0,1053,0,0,0
SVAMP_adjusted_position-calc_perturbation-add1_annotated.csv,svamp,calc,add1,0,1053,1053,0,1053,0,0,0
SVAMP_adjusted_position-calc_perturbation-random_annotated.csv,svamp,calc,random,0,2322,2322,0,2031,291,291,0
SVAMP_adjusted_position-calc_perturbation-random_letter_perturbation-typo10_annotated.csv,svamp,calc,random,1,1500,1500,0,1024,476,476,0
SVAMP_adjusted_position-copy_perturbation-add101_annotated.csv,svamp,copy,add101,0,263,263,0,263,0,0,0
SVAMP_adjusted_position-copy_perturbation-add1_annotated.csv,svamp,copy,add1,0,263,263,0,263,0,0,0
SVAMP_adjusted_position-copy_perturbation-random_annotated.csv,svamp,copy,random,0,1126,1126,0,826,300,300,0
SVAMP_adjusted_position-copy_perturbation-random_letter_perturbation-typo10_annotated.csv,svamp,copy,random,1,526,526,0,257,269,269,0
SVAMP_adjusted_position-propcalc_perturbation-add101_annotated.csv,svamp,propcalc,add101,0,235,235,0,235,0,0,0
SVAMP_adjusted_position-propcalc_perturbation-add1_annotated.csv,svamp,propcalc,add1,0,235,235,0,235,0,0,0
SVAMP_adjusted_position-propcalc_perturbation-random_annotated.csv,svamp,propcalc,random,0,1032,1032,0,751,281,281,0
SVAMP_adjusted_position-propcalc_perturbation-random_letter_perturbation-typo10_annotated.csv,svamp,propcalc,random,1,508,508,0,235,273,273,0
